"issue.date","song","artist","year"
"April 2","""Ballad of the Green Berets""","SSgt Barry Sadler",1966
"April 9","""(You're My) Soul and Inspiration""","The Righteous Brothers",1966
"April 16","""(You're My) Soul and Inspiration""","The Righteous Brothers",1966
"April 23","""(You're My) Soul and Inspiration""","The Righteous Brothers",1966
"April 30","""Good Lovin'""","The Young Rascals",1966
"May 7","""Monday, Monday""","The Mamas & the Papas",1966
"May 14","""Monday, Monday""","The Mamas & the Papas",1966
"May 21","""Monday, Monday""","The Mamas & the Papas",1966
"May 28","""When a Man Loves a Woman""","Percy Sledge",1966
"June 4","""When a Man Loves a Woman""","Percy Sledge",1966
"June 11","""Paint It Black""","The Rolling Stones",1966
"June 18","""Paint It Black""","The Rolling Stones",1966
"June 25","""Paperback Writer""","The Beatles",1966
"July 2","""Strangers in the Night""","Frank Sinatra",1966
"July 9","""Paperback Writer""","The Beatles",1966
"July 16","""Hanky Panky""","Tommy James and the Shondells",1966
"July 23","""Hanky Panky""","Tommy James and the Shondells",1966
"July 30","""Wild Thing""","The Troggs",1966
"August 6","""Wild Thing""","The Troggs",1966
"August 13","""Summer in the City""","The Lovin' Spoonful",1966
"August 20","""Summer in the City""","The Lovin' Spoonful",1966
"August 27","""Summer in the City""","The Lovin' Spoonful",1966
"September 3","""Sunshine Superman""","Donovan",1966
"September 10","""You Can't Hurry Love""","The Supremes",1966
"September 17","""You Can't Hurry Love""","The Supremes",1966
"September 24","""Cherish""","The Association",1966
"October 1","""Cherish""","The Association",1966
"October 8","""Cherish""","The Association",1966
"October 15","""Reach Out I'll Be There""","Four Tops",1966
"October 22","""Reach Out I'll Be There""","Four Tops",1966
"October 29","""96 Tears""","? and the Mysterians",1966
"November 5","""Last Train to Clarksville""","The Monkees",1966
"November 12","""Poor Side of Town""","Johnny Rivers",1966
"November 19","""You Keep Me Hangin' On""","The Supremes",1966
"November 26","""You Keep Me Hangin' On""","The Supremes",1966
"December 3","""Winchester Cathedral""","The New Vaudeville Band",1966
"December 10","""Good Vibrations""","The Beach Boys",1966
"December 17","""Winchester Cathedral""","The New Vaudeville Band",1966
"December 24","""Winchester Cathedral""","The New Vaudeville Band",1966
"December 31","""I'm a Believer""","The Monkees",1966
"January 7","""I'm a Believer""","The Monkees",1967
"January 14","""I'm a Believer""","The Monkees",1967
"January 21","""I'm a Believer""","The Monkees",1967
"January 28","""I'm a Believer""","The Monkees",1967
"February 4","""I'm a Believer""","The Monkees",1967
"February 11","""I'm a Believer""","The Monkees",1967
"February 18","""Kind of a Drag""","The Buckinghams",1967
