"issue.date","song","artist","year"
"March 14","""Gettin' Jiggy wit It”","Will Smith",1998
"March 21","""Gettin' Jiggy wit It”","Will Smith",1998
"March 28","""Gettin' Jiggy wit It”","Will Smith",1998
"April 4","""All My Life""","K-Ci & JoJo",1998
"April 11","""All My Life""","K-Ci & JoJo",1998
"April 18","""All My Life""","K-Ci & JoJo",1998
"April 25","""Too Close""","Next",1998
"May 2","""Too Close""","Next",1998
"May 9","""Too Close""","Next",1998
"May 16","""Too Close""","Next",1998
"May 23","""My All""","Mariah Carey",1998
"May 30","""Too Close""","Next",1998
"June 6","""The Boy Is Mine""","Brandy and Monica",1998
"June 13","""The Boy Is Mine""","Brandy and Monica",1998
"June 20","""The Boy Is Mine""","Brandy and Monica",1998
"June 27","""The Boy Is Mine""","Brandy and Monica",1998
"July 4","""The Boy Is Mine""","Brandy and Monica",1998
"July 11","""The Boy Is Mine""","Brandy and Monica",1998
"July 18","""The Boy Is Mine""","Brandy and Monica",1998
"July 25","""The Boy Is Mine""","Brandy and Monica",1998
"August 1","""The Boy Is Mine""","Brandy and Monica",1998
"August 8","""The Boy Is Mine""","Brandy and Monica",1998
"August 15","""The Boy Is Mine""","Brandy and Monica",1998
"August 22","""The Boy Is Mine""","Brandy and Monica",1998
"August 29","""The Boy Is Mine""","Brandy and Monica",1998
"September 5","""I Don't Want to Miss a Thing""","Aerosmith",1998
"September 12","""I Don't Want to Miss a Thing""","Aerosmith",1998
"September 19","""I Don't Want to Miss a Thing""","Aerosmith",1998
"September 26","""I Don't Want to Miss a Thing""","Aerosmith",1998
"October 3","""The First Night""","Monica",1998
"October 10","""The First Night""","Monica",1998
"October 17","""One Week""","Barenaked Ladies",1998
"October 24","""The First Night""","Monica",1998
"October 31","""The First Night""","Monica",1998
"November 7","""The First Night""","Monica",1998
"November 14","""Doo Wop (That Thing)""","Lauryn Hill",1998
"November 21","""Doo Wop (That Thing)""","Lauryn Hill",1998
"November 28","""Lately""","Divine",1998
"December 5","""I'm Your Angel""","R. Kelly and Céline Dion",1998
"December 12","""I'm Your Angel""","R. Kelly and Céline Dion",1998
"December 19","""I'm Your Angel""","R. Kelly and Céline Dion",1998
"December 26","""I'm Your Angel""","R. Kelly and Céline Dion",1998
"January 2","""I'm Your Angel""","R. Kelly and Céline Dion",1999
"January 9","""I'm Your Angel""","R. Kelly and Céline Dion",1999
"January 16","""Have You Ever?""","Brandy",1999
"January 23","""Have You Ever?""","Brandy",1999
"January 30","""...Baby One More Time""","Britney Spears",1999
"February 6","""...Baby One More Time""","Britney Spears",1999
"February 13","""Angel of Mine""","Monica",1999
"February 20","""Angel of Mine""","Monica",1999
"February 27","""Angel of Mine""","Monica",1999
"March 6","""Angel of Mine""","Monica",1999
"March 13","""Believe""","Cher",1999
"March 20","""Believe""","Cher",1999
"March 27","""Believe""","Cher",1999
"April 3","""Believe""","Cher",1999
"April 10","""No Scrubs""","TLC",1999
"April 17","""No Scrubs""","TLC",1999
"April 24","""No Scrubs""","TLC",1999
"May 1","""No Scrubs""","TLC",1999
"May 8","""Livin' la Vida Loca""","Ricky Martin",1999
"May 15","""Livin' la Vida Loca""","Ricky Martin",1999
"May 22","""Livin' la Vida Loca""","Ricky Martin",1999
"May 29","""Livin' la Vida Loca""","Ricky Martin",1999
"June 5","""Livin' la Vida Loca""","Ricky Martin",1999
"June 12","""If You Had My Love""","Jennifer Lopez",1999
"June 19","""If You Had My Love""","Jennifer Lopez",1999
"June 26","""If You Had My Love""","Jennifer Lopez",1999
"July 3","""If You Had My Love""","Jennifer Lopez",1999
"July 10","""If You Had My Love""","Jennifer Lopez",1999
"July 17","""Bills, Bills, Bills""","Destiny's Child",1999
"July 24","""Wild Wild West""","Will Smith featuring Dru Hill and Kool Moe Dee",1999
"July 31","""Genie in a Bottle""","Christina Aguilera",1999
"August 7","""Genie in a Bottle""","Christina Aguilera",1999
"August 14","""Genie in a Bottle""","Christina Aguilera",1999
"August 21","""Genie in a Bottle""","Christina Aguilera",1999
"August 28","""Genie in a Bottle""","Christina Aguilera",1999
"September 4","""Bailamos""","Enrique Iglesias",1999
"September 11","""Bailamos""","Enrique Iglesias",1999
"September 18","""Unpretty""","TLC",1999
"September 25","""Unpretty""","TLC",1999
"October 2","""Unpretty""","TLC",1999
"October 9","""Heartbreaker""","Mariah Carey featuring Jay-Z",1999
"October 16","""Heartbreaker""","Mariah Carey featuring Jay-Z",1999
"October 23","""Smooth""","Santana featuring Rob Thomas",1999
"October 30","""Smooth""","Santana featuring Rob Thomas",1999
"November 6","""Smooth""","Santana featuring Rob Thomas",1999
"November 13","""Smooth""","Santana featuring Rob Thomas",1999
"November 20","""Smooth""","Santana featuring Rob Thomas",1999
"November 27","""Smooth""","Santana featuring Rob Thomas",1999
"December 4","""Smooth""","Santana featuring Rob Thomas",1999
"December 11","""Smooth""","Santana featuring Rob Thomas",1999
"December 18","""Smooth""","Santana featuring Rob Thomas",1999
"December 25","""Smooth""","Santana featuring Rob Thomas",1999
"January 1","""Smooth""","Santana featuring Rob Thomas",2000
"January 8","""Smooth""","Santana featuring Rob Thomas",2000
"January 15","""What a Girl Wants""","Christina Aguilera",2000
"January 22","""What a Girl Wants""","Christina Aguilera",2000
"January 29","""I Knew I Loved You""","Savage Garden",2000
"February 5","""I Knew I Loved You""","Savage Garden",2000
"February 12","""I Knew I Loved You""","Savage Garden",2000
"February 19","""Thank God I Found You""","Mariah Carey featuring Joe and 98 Degrees",2000
"February 26","""I Knew I Loved You""","Savage Garden",2000
"March 4","""Amazed""","Lonestar",2000
"March 11","""Amazed""","Lonestar",2000
"March 18","""Say My Name""","Destiny's Child",2000
"March 25","""Say My Name""","Destiny's Child",2000
"April 1","""Say My Name""","Destiny's Child",2000
"April 8","""Maria Maria""","Santana featuring The Product G&B",2000
"April 15","""Maria Maria""","Santana featuring The Product G&B",2000
"April 22","""Maria Maria""","Santana featuring The Product G&B",2000
"April 29","""Maria Maria""","Santana featuring The Product G&B",2000
"May 6","""Maria Maria""","Santana featuring The Product G&B",2000
"May 13","""Maria Maria""","Santana featuring The Product G&B",2000
"May 20","""Maria Maria""","Santana featuring The Product G&B",2000
"May 27","""Maria Maria""","Santana featuring The Product G&B",2000
"June 3","""Maria Maria""","Santana featuring The Product G&B",2000
"June 10","""Maria Maria""","Santana featuring The Product G&B",2000
"June 17","""Try Again""","Aaliyah",2000
"June 24","""Be with You""","Enrique Iglesias",2000
"July 1","""Be with You""","Enrique Iglesias",2000
"July 8","""Be with You""","Enrique Iglesias",2000
"July 15","""Everything You Want""","Vertical Horizon",2000
"July 22","""Bent""","Matchbox Twenty",2000
"July 29","""It's Gonna Be Me""","NSYNC",2000
"August 5","""It's Gonna Be Me""","NSYNC",2000
"August 12","""Incomplete""","Sisqó",2000
"August 19","""Incomplete""","Sisqó",2000
"August 26","""Doesn't Really Matter""","Janet",2000
"September 2","""Doesn't Really Matter""","Janet",2000
"September 9","""Doesn't Really Matter""","Janet",2000
"September 16","""Music""","Madonna",2000
"September 23","""Music""","Madonna",2000
"September 30","""Music""","Madonna",2000
"October 7","""Music""","Madonna",2000
"October 14","""Come on Over Baby (All I Want Is You)""","Christina Aguilera",2000
"October 21","""Come on Over Baby (All I Want Is You)""","Christina Aguilera",2000
"October 28","""Come on Over Baby (All I Want Is You)""","Christina Aguilera",2000
"November 4","""Come on Over Baby (All I Want Is You)""","Christina Aguilera",2000
"November 11","""With Arms Wide Open""","Creed",2000
"November 18","""Independent Women Part I""","Destiny's Child",2000
"November 25","""Independent Women Part I""","Destiny's Child",2000
"December 2","""Independent Women Part I""","Destiny's Child",2000
"December 9","""Independent Women Part I""","Destiny's Child",2000
"December 16","""Independent Women Part I""","Destiny's Child",2000
"December 23","""Independent Women Part I""","Destiny's Child",2000
"December 30","""Independent Women Part I""","Destiny's Child",2000
"January 6","""Independent Women Part I""","Destiny's Child",2001
"January 13","""Independent Women Part I""","Destiny's Child",2001
"January 20","""Independent Women Part I""","Destiny's Child",2001
"January 27","""Independent Women Part I""","Destiny's Child",2001
"February 3","""It Wasn't Me""","Shaggy featuring Ricardo ""RikRok"" Ducent",2001
"February 10","""It Wasn't Me""","Shaggy featuring Ricardo ""RikRok"" Ducent",2001
"February 17","""Ms. Jackson""","OutKast",2001
"February 24","""Stutter""","Joe featuring Mystikal",2001
"March 3","""Stutter""","Joe featuring Mystikal",2001
"March 10","""Stutter""","Joe featuring Mystikal",2001
"March 17","""Stutter""","Joe featuring Mystikal",2001
"March 24","""Butterfly""","Crazy Town",2001
"March 31","""Angel""","Shaggy featuring Rayvon",2001
"April 7","""Butterfly""","Crazy Town",2001
"April 14","""All for You""","Janet",2001
"April 21","""All for You""","Janet",2001
"April 28","""All for You""","Janet",2001
"May 5","""All for You""","Janet",2001
"May 12","""All for You""","Janet",2001
"May 19","""All for You""","Janet",2001
"May 26","""All for You""","Janet",2001
"June 2","""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001
"June 9","""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001
"June 16","""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001
"June 23","""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001
"June 30","""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001
"July 7","""U Remind Me""","Usher",2001
"July 14","""U Remind Me""","Usher",2001
"July 21","""U Remind Me""","Usher",2001
"July 28","""U Remind Me""","Usher",2001
"August 4","""Bootylicious""","Destiny's Child",2001
"August 11","""Bootylicious""","Destiny's Child",2001
"August 18","""Fallin'""","Alicia Keys",2001
"August 25","""Fallin'""","Alicia Keys",2001
"September 1","""Fallin'""","Alicia Keys",2001
"September 8","""I'm Real (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2001
"September 15","""I'm Real (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2001
"September 22","""I'm Real (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2001
"September 29","""Fallin'""","Alicia Keys",2001
"October 6","""Fallin'""","Alicia Keys",2001
"October 13","""Fallin'""","Alicia Keys",2001
"October 20","""I'm Real (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2001
"October 27","""I'm Real (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2001
"November 3","""Family Affair""","Mary J. Blige",2001
"November 10","""Family Affair""","Mary J. Blige",2001
"November 17","""Family Affair""","Mary J. Blige",2001
"November 24","""Family Affair""","Mary J. Blige",2001
"December 1","""Family Affair""","Mary J. Blige",2001
"December 8","""Family Affair""","Mary J. Blige",2001
"December 15","""U Got It Bad""","Usher",2001
"December 22","""How You Remind Me""","Nickelback",2001
"December 29","""How You Remind Me""","Nickelback",2001
"January 5","""How You Remind Me""","Nickelback",2002
"January 12","""How You Remind Me""","Nickelback",2002
"January 19","""U Got It Bad""","Usher",2002
"January 26","""U Got It Bad""","Usher",2002
"February 2","""U Got It Bad""","Usher",2002
"February 9","""U Got It Bad""","Usher",2002
"February 16","""U Got It Bad""","Usher",2002
"February 23","""Always on Time""","Ja Rule featuring Ashanti",2002
"March 2","""Always on Time""","Ja Rule featuring Ashanti",2002
"March 9","""Ain't It Funny""","Jennifer Lopez featuring Ja Rule",2002
"March 16","""Ain't It Funny""","Jennifer Lopez featuring Ja Rule",2002
"March 23","""Ain't It Funny""","Jennifer Lopez featuring Ja Rule",2002
"March 30","""Ain't It Funny""","Jennifer Lopez featuring Ja Rule",2002
"April 6","""Ain't It Funny""","Jennifer Lopez featuring Ja Rule",2002
"April 13","""Ain't It Funny""","Jennifer Lopez featuring Ja Rule",2002
"April 20","""Foolish""","Ashanti",2002
"April 27","""Foolish""","Ashanti",2002
"May 4","""Foolish""","Ashanti",2002
"May 11","""Foolish""","Ashanti",2002
"May 18","""Foolish""","Ashanti",2002
"May 25","""Foolish""","Ashanti",2002
"June 1","""Foolish""","Ashanti",2002
"June 8","""Foolish""","Ashanti",2002
"June 15","""Foolish""","Ashanti",2002
"June 22","""Foolish""","Ashanti",2002
"June 29","""Hot in Herre""","Nelly",2002
"July 6","""Hot in Herre""","Nelly",2002
"July 13","""Hot in Herre""","Nelly",2002
"July 20","""Hot in Herre""","Nelly",2002
"July 27","""Hot in Herre""","Nelly",2002
"August 3","""Hot in Herre""","Nelly",2002
"August 10","""Hot in Herre""","Nelly",2002
"August 17","""Dilemma""","Nelly featuring Kelly Rowland",2002
"August 24","""Dilemma""","Nelly featuring Kelly Rowland",2002
"August 31","""Dilemma""","Nelly featuring Kelly Rowland",2002
"September 7","""Dilemma""","Nelly featuring Kelly Rowland",2002
"September 14","""Dilemma""","Nelly featuring Kelly Rowland",2002
"September 21","""Dilemma""","Nelly featuring Kelly Rowland",2002
"September 28","""Dilemma""","Nelly featuring Kelly Rowland",2002
"October 5","""A Moment Like This""","Kelly Clarkson",2002
"October 12","""A Moment Like This""","Kelly Clarkson",2002
"October 19","""Dilemma""","Nelly featuring Kelly Rowland",2002
"October 26","""Dilemma""","Nelly featuring Kelly Rowland",2002
"November 2","""Dilemma""","Nelly featuring Kelly Rowland",2002
"November 9","""Lose Yourself""","Eminem",2002
"November 16","""Lose Yourself""","Eminem",2002
"November 23","""Lose Yourself""","Eminem",2002
"November 30","""Lose Yourself""","Eminem",2002
"December 7","""Lose Yourself""","Eminem",2002
"December 14","""Lose Yourself""","Eminem",2002
"December 21","""Lose Yourself""","Eminem",2002
"December 28","""Lose Yourself""","Eminem",2002
"January 4","""Lose Yourself""","Eminem",2003
"January 11","""Lose Yourself""","Eminem",2003
"January 18","""Lose Yourself""","Eminem",2003
"January 25","""Lose Yourself""","Eminem",2003
"February 1","""Bump, Bump, Bump""","B2K featuring P. Diddy",2003
"February 8","""All I Have""","Jennifer Lopez featuring LL Cool J",2003
"February 15","""All I Have""","Jennifer Lopez featuring LL Cool J",2003
"February 22","""All I Have""","Jennifer Lopez featuring LL Cool J",2003
"March 1","""All I Have""","Jennifer Lopez featuring LL Cool J",2003
"March 8","""In da Club""","50 Cent",2003
"March 15","""In da Club""","50 Cent",2003
"March 22","""In da Club""","50 Cent",2003
"March 29","""In da Club""","50 Cent",2003
"April 5","""In da Club""","50 Cent",2003
"April 12","""In da Club""","50 Cent",2003
"April 19","""In da Club""","50 Cent",2003
"April 26","""In da Club""","50 Cent",2003
"May 3","""In da Club""","50 Cent",2003
"May 10","""Get Busy""","Sean Paul",2003
"May 17","""Get Busy""","Sean Paul",2003
"May 24","""Get Busy""","Sean Paul",2003
"May 31","""21 Questions""","50 Cent featuring Nate Dogg",2003
"June 7","""21 Questions""","50 Cent featuring Nate Dogg",2003
